,date,sen,요일,라벨
36,2019.01.03,"중국 달 탐사선, 인류 최초로 달 뒷면 착륙…NASA ""매우 인상적""",목,1
41,2019.01.03,"中, 달의 뒷면 착륙에 '들썩'…""역사 창조""",목,1
40,2019.01.03,"벼랑 끝에 선 SNS 제왕 ""모든 서비스 DNA 바꾼다""",목,1
39,2019.01.03,"""中 공유자전거 '오포' 보증금 반환, 1000만명 중 24만명 꼴""",목,1
37,2019.01.03,"트럼프, 매티스 前 국방 맹비난 ""잘한 일이 없어 해고""",목,1
35,2019.01.03,"중국, 달 탐사 후발국에서 신기록 보유국으로",목,1
38,2019.01.03,[column of the week] '시장주의' 밀어붙인 미국…'관료주의' 유럽에 승리하다,목,1
33,2019.01.03,"""전기차 대량 보급은 시기상조?""…테슬라 주가 연초부터 7% 폭락",목,1
32,2019.01.03,"월가 투자자들 ""Fed, 금리 못 올린다""에 베팅",목,1
31,2019.01.03,中 '우주 굴기'…달 뒷면에 착륙,목,1
34,2019.01.03,"중국 ""김정은이 트럼프에 친서 전달, 좋은 상황""",목,1
30,2019.01.03,김정은 보란 듯 “제재가 오고있다” 포스터,목,1
29,2019.01.03,스마트폰 판매 18% 급감…IT기업 무더기 감원,목,1
28,2019.01.03,"[글로벌 톡톡] 세스 고딘, 스퀴두 설립자",목,1
78,2019.01.06,참치 한 마리 35억원 낙찰,일,1
83,2019.01.06,美국방부 고위관리 줄사퇴…장관·수석대변인 이어 비서실장,일,1
82,2019.01.06,무역전쟁 후폭풍…美 CES 참가 중국기업 20% 줄어,일,1
81,2019.01.06,美 CES 참가 中기업 전년比 20%↓ '무역전쟁 영향',일,1
80,2019.01.06,"""新산업 막는 규제 없애고…강남스타일 같은 창의 키워라""",일,1
79,2019.01.06,"""미국 6개州, 최저임금 10% 넘게 올렸더니 신규 고용 줄었다""",일,1
77,2019.01.06,[글로벌 톡톡] 케빈 존슨 스타벅스 CEO,일,1
73,2019.01.06,무인택시 시대보다 '무인배달' 먼저 온다,일,1
75,2019.01.06,다시 쏟아져 나온 '노란 조끼',일,1
74,2019.01.06,신장위구르 집집마다 '中 감시원' 상주,일,1
76,2019.01.06,"日 기업 ""시니어 직원 연봉 30% 더 줍니다""",일,1
72,2019.01.06,"차이잉원 대만 총통 ""국제사회가 대만 지켜달라"" 읍소",일,1
71,2019.01.06,"메이 ""브렉시트 투표 14∼15일…부결시 英 앞날 예측 어려워""",일,1
70,2019.01.06,"트럼프 ""2차 북미정상회담 장소 협상중…머지않아 발표될 것""",일,1
106,2019.01.08,"""2년 내 전례 없는 침체 온다""…서머스 '섣부른 긴축' 경고",화,1
111,2019.01.08,"법정 선 곤 前닛산 회장 ""난 결백…닛산 부활에 인생 바쳤다""",화,1
110,2019.01.08,"中 자본 美 기업 M&amp;A, 2년 새 95% 줄었다",화,1
109,2019.01.08,"미국, 지하철 차량 입찰에 중국 참여 제한…""사이버 공격 우려""",화,1
108,2019.01.08,"김용 총재, 임기 3년 남겨두고 돌연 사임…트럼프의 '세계은행 때리기'에 지쳤나",화,1
107,2019.01.08,"소프트뱅크, 위워크 인수 접었다",화,1
